data_column_name,sample,batch,group
MCF10A_UT_1,MCF10A_UT_1,1,MCF10A_UT
MCF10A_UT_2,MCF10A_UT_2,1,MCF10A_UT
MCF10A_UT_3,MCF10A_UT_3,1,MCF10A_UT
MDA_MB_231_UT_1,MDA_MB_231_UT_1,1,MDA_MB_231_UT
MDA_MB_231_UT_2,MDA_MB_231_UT_2,1,MDA_MB_231_UT
MDA_MB_231_UT_3,MDA_MB_231_UT_3,1,MDA_MB_231_UT
HCC1937_UT_1,HCC1937_UT_1,1,HCC1937_UT
HCC1937_UT_2,HCC1937_UT_2,1,HCC1937_UT
HCC1937_UT_3,HCC1937_UT_3,1,HCC1937_UT
MCF10A_TR_1,MCF10A_TR_1,2,MCF10A_TR
MCF10A_TR_2,MCF10A_TR_2,2,MCF10A_TR
MCF10A_TR_3,MCF10A_TR_3,2,MCF10A_TR
MDA_MB_231_TR_1,MDA_MB_231_TR_1,2,MDA_MB_231_TR
MDA_MB_231_TR_2,MDA_MB_231_TR_2,2,MDA_MB_231_TR
MDA_MB_231_TR_3,MDA_MB_231_TR_3,2,MDA_MB_231_TR
HCC1937_TR_1,HCC1937_TR_1,2,HCC1937_TR
HCC1937_TR_2,HCC1937_TR_2,2,HCC1937_TR
HCC1937_TR_3,HCC1937_TR_3,2,HCC1937_TR
